"Posição","Nome","Localidade","2007","2008","2009","2010","2011","2012","Unidade","Multiplicador"
"1","Notificações","Angra dos Reis","300","10516","204","833","4162","1288","",""
"1","Notificações","Aperibé","38","51","2","16","26","103","",""
"1","Notificações","Araruama","382","1539","38","578","604","138","",""
"1","Notificações","Areal","5","4","-","-","35","2","",""
"1","Notificações","Armação dos Búzios","505","71","-","31","578","71","",""
"1","Notificações","Arraial do Cabo","28","53","5","50","90","72","",""
"1","Notificações","Barra do Piraí","57","274","467","6","289","135","",""
"1","Notificações","Barra Mansa","112","420","13","68","897","40","",""
"1","Notificações","Belford Roxo","553","4581","178","961","2531","1373","",""
"1","Notificações","Bom Jardim","2","1","-","1","176","1","",""
"1","Notificações","Bom Jesus do Itabapoana","670","57","19","356","1874","63","",""
"1","Notificações","Cabo Frio","725","502","30","1695","5428","3085","",""
"1","Notificações","Cachoeiras de Macacu","101","224","175","345","225","193","",""
"1","Notificações","Cambuci","42","49","2","57","115","34","",""
"1","Notificações","Comendador Levy Gasparian","-","50","-","3","8","1","",""
"1","Notificações","Campos dos Goytacazes","2334","8843","281","2028","4009","1208","",""
"1","Notificações","Cantagalo","211","571","12","166","551","9","",""
"1","Notificações","Cardoso Moreira","157","73","8","8","28","23","",""
"1","Notificações","Carmo","51","559","25","15","90","7","",""
"1","Notificações","Casimiro de Abreu","165","52","74","524","171","17","",""
"1","Notificações","Conceição de Macabu","43","111","8","9","16","7","",""
"1","Notificações","Cordeiro","273","372","19","75","1198","45","",""
"1","Notificações","Duas Barras","-","1","-","2","8","1","",""
"1","Notificações","Duque de Caxias","607","13736","187","1227","9265","2741","",""
"1","Notificações","Engenheiro Paulo de Frontin","11","9","6","-","53","2","",""
"1","Notificações","Guapimirim","92","214","12","53","468","16","",""
"1","Notificações","Iguaba Grande","115","236","7","66","614","105","",""
"1","Notificações","Itaboraí","1204","3099","742","2133","4879","4276","",""
"1","Notificações","Itaguaí","206","665","34","234","396","132","",""
"1","Notificações","Italva","92","63","3","134","111","148","",""
"1","Notificações","Itaocara","152","8","-","41","106","26","",""
"1","Notificações","Itaperuna","1676","123","28","1313","825","369","",""
"1","Notificações","Itatiaia","93","141","6","4","188","47","",""
"1","Notificações","Japeri","11","807","13","4","292","72","",""
"1","Notificações","Laje do Muriaé","33","15","-","37","1","4","",""
"1","Notificações","Macaé","1555","543","707","1370","607","383","",""
"1","Notificações","Macuco","74","75","1","41","231","2","",""
"1","Notificações","Magé","1269","2865","55","693","1480","186","",""
"1","Notificações","Mangaratiba","45","380","1","49","591","119","",""
"1","Notificações","Maricá","499","1838","21","123","2062","498","",""
"1","Notificações","Mendes","1046","259","1","2","285","3","",""
"1","Notificações","Mesquita","134","1528","109","50","1040","738","",""
"1","Notificações","Miguel Pereira","2","8","1","3","29","10","",""
"1","Notificações","Miracema","16","31","9","8","23","19","",""
"1","Notificações","Natividade","65","189","5","336","14","12","",""
"1","Notificações","Nilópolis","28","708","24","23","923","854","",""
"1","Notificações","Niterói","7436","6222","741","1291","5066","6355","",""
"1","Notificações","Nova Friburgo","70","61","7","31","938","32","",""
"1","Notificações","Nova Iguaçu","1549","13772","107","227","3091","2567","",""
"1","Notificações","Carapebus","25","58","2","14","22",,"",""
"1","Notificações","Paracambi","263","175","1","1","599","4","",""
"1","Notificações","Paraíba do Sul","138","44","-","3","279","8","",""
"1","Notificações","Parati","52","224","36","119","60","30","",""
"1","Notificações","Paty do Alferes","5","7","1","-","34","13","",""
"1","Notificações","Petrópolis","80","132","6","18","325","28","",""
"1","Notificações","Pinheiral","55","73","2","2","291","28","",""
"1","Notificações","Piraí","13","26","2","5","46","77","",""
"1","Notificações","Porciúncula","222","122","281","573","28","5","",""
"1","Notificações","Porto Real","6","1","-","-","36","2","",""
"1","Notificações","Queimados","58","399","16","23","292","220","",""
"1","Notificações","Quissamã","38","61","3","52","475","6","",""
"1","Notificações","Resende","550","288","5","25","1006","167","",""
"1","Notificações","Rio Bonito","191","837","4","109","186","241","",""
"1","Notificações","Rio Claro","2","26","4","1","5","1","",""
"1","Notificações","Rio das Flores","-","1","1","3","37","18","",""
"1","Notificações","Rio das Ostras","281","138","13","196","2129","338","",""
"1","Notificações","Rio de Janeiro","25524","106435","2796","2813","75623","133775","",""
"1","Notificações","Santo Antônio de Pádua","589","340","1","198","1049","733","",""
"1","Notificações","São Francisco de Itabapoana","7","131","8","32","120","26","",""
"1","Notificações","São Fidélis","105","167","2","399","590","123","",""
"1","Notificações","São Gonçalo","2951","2571","242","1477","4646","9665","",""
"1","Notificações","São João da Barra","19","630","3","269","103","16","",""
"1","Notificações","São João de Meriti","259","5765","68","241","3071","1506","",""
"1","Notificações","São José de Ubá","28","1","-","1","5","6","",""
"1","Notificações","São José do Vale do Rio Preto","4","33","-","52","95","8","",""
"1","Notificações","São Pedro da Aldeia","510","297","21","183","142","108","",""
"1","Notificações","São Sebastião do Alto","8","12","-","-","8","1","",""
"1","Notificações","Sapucaia","15","54","3","3","94","33","",""
"1","Notificações","Saquarema","116","253","1","169","587","221","",""
"1","Notificações","Seropédica","154","1123","18","42","688","30","",""
"1","Notificações","Silva Jardim","22","48","65","54","708","240","",""
"1","Notificações","Tanguá","135","234","86","1612","183","211","",""
"1","Notificações","Teresópolis","17","54","5","6","50","17","",""
"1","Notificações","Três Rios","27","59","8","11","105","13","",""
"1","Notificações","Valença","169","36","55","500","1022","1217","",""
"1","Notificações","Varre-Sai","-","6","-","3","-","2","",""
"1","Notificações","Vassouras","9","52","3","319","674","34","",""
"1","Notificações","Volta Redonda","256","1112","112","159","6064","997","",""
"1","Notificações","Quatis","23","1","1","10","10",,"",""
"1","Notificações","Santa Maria Madalena","2","9","-","-","3",,"",""
"1","Notificações","Sumidouro","4","8","1","-","3",,"",""
"1","Notificações","Trajano de Moraes","2","-","-","-","4",,"",""
