,Municipio,Latitude,Longitude
0,Angra dos Reis,-23.006396599999999,-44.316325999999997
1,Aperibé,-21.621192799999999,-42.102816699999998
2,Araruama,-22.8733203,-42.342889700000001
3,Areal,-22.231492200000002,-43.105626399999998
4,Armação dos Búzios,-22.759780500000002,-41.887526700000002
5,Arraial do Cabo,-22.966283900000001,-42.024427000000003
6,Barra do Piraí,-22.4703403,-43.826325599999997
7,Barra Mansa,-22.539484300000002,-44.173512899999999
8,Belford Roxo,-22.766728400000002,-43.403360300000003
9,Bom Jardim,-22.151532799999998,-42.4186683
10,Bom Jesus do Itabapoana,-21.134102500000001,-41.680095000000001
11,Cabo Frio,-22.880436899999999,-42.018922699999997
12,Cachoeiras de Macacu,-22.462686099999999,-42.653441399999998
13,Cambuci,-21.574991900000001,-41.910783299999999
14,Carapebus,-22.203299999999999,-41.662500000000001
15,Comendador Levy Gasparian,-22.0427,-43.208300000000001
16,Campos dos Goytacazes,-21.7545,-41.324399999999997
17,Cantagalo,-21.981999999999999,-42.367899999999999
18,Cardoso Moreira,-21.488285000000001,-41.757800000000003
19,Carmo,-21.9239,-42.614899999999999
20,Casimiro de Abreu,-22.4849,-42.201300000000003
21,Conceição de Macabu,-22.084998599999999,-41.867994699999997
22,Cordeiro,-22.028768100000001,-42.360744199999999
23,Duas Barras,-22.052251900000002,-42.519470499999997
24,Duque de Caxias,-22.7896225,-43.309928999999997
25,Engenheiro Paulo de Frontin,-22.550455599999999,-43.678340300000002
26,Guapimirim,-22.5266308,-42.979068699999999
27,Iguaba Grande,-22.838849799999998,-42.228674599999998
28,Itaboraí,-22.749623100000001,-42.855742800000002
29,Itaguaí,-22.862959700000001,-43.775322000000003
30,Italva,-21.4214056,-41.690795600000001
31,Itaocara,-21.672523600000002,-42.0798658
32,Itaperuna,-21.204799999999999,-41.888010000000001
33,Itatiaia,-22.495527800000001,-44.563310799999996
34,Japeri,-22.642764199999998,-43.653383099999999
35,Laje do Muriaé,-21.2082595,-42.122695899999997
36,Macaé,-22.371295799999999,-41.786692199999997
37,Macuco,-21.984974699999999,-42.253946399999997
38,Magé,-22.660422100000002,-43.042616199999998
39,Mangaratiba,-22.960019299999999,-44.041110000000003
40,Maricá,-22.919677199999999,-42.818437500000002
41,Mendes,-22.526911299999998,-43.733260399999999
42,Mesquita,-22.783092,-43.429359900000001
43,Miguel Pereira,-22.453941700000001,-43.469197800000003
44,Miracema,-21.412365099999999,-42.196514700000002
45,Natividade,-21.040693999999998,-41.981753400000002
46,Nilópolis,-22.808011400000002,-43.413822199999998
47,Niterói,-22.883237099999999,-43.1154552
48,Nova Friburgo,-22.280000399999999,-42.532530299999998
49,Nova Iguaçu,-22.759217499999998,-43.450872799999999
50,Paracambi,-22.610915800000001,-43.709691200000002
51,Paraíba do Sul,-22.1636384,-43.291691499999999
52,Paraty,-23.219646099999999,-44.715419599999997
53,Paty do Alferes,-22.4272703,-43.421952300000001
54,Petrópolis,-22.507574300000002,-43.178535599999996
55,Pinheiral,-22.5129436,-44.001435000000001
56,Piraí,-22.628748900000001,-43.898175799999997
57,Porciúncula,-20.9627278,-42.040570299999999
58,Porto Real,-22.4198366,-44.289797399999998
59,Quatis,-22.406644400000001,-44.257745300000003
60,Queimados,-22.715697800000001,-43.555754
61,Quissamã,-22.107205,-41.472341100000001
62,Resende,-22.468362599999999,-44.446349400000003
63,Rio Bonito,-22.7108378,-42.627186399999999
64,Rio Claro,-22.722999699999999,-44.135998600000001
65,Rio das Flores,-22.168347799999999,-43.585868900000001
66,Rio das Ostras,-22.526944799999999,-41.944972
67,Rio de Janeiro,-22.911013700000002,-43.209372700000003
68,Santa Maria Madalena,-21.955795699999999,-42.008282999999999
69,Santo Antônio de Pádua,-21.538999199999999,-42.179997800000002
70,São Francisco de Itabapoana,-21.47437,-41.120199999999997
71,São Fidélis,-21.6431,-41.757800000000003
72,São Gonçalo,-22.821901400000002,-43.030925199999999
73,São João da Barra,-21.6348588,-41.048707899999997
74,São João de Meriti,-22.8043744,-43.372412500000003
75,São José de Ubá,-21.359536500000001,-41.938990500000003
76,São José do Vale do Rio Preto,-22.1509994,-42.923998599999997
77,São Pedro da Aldeia,-22.836200000000002,-42.103700000000003
78,São Sebastião do Alto,-21.956827199999999,-42.134815000000003
79,Sapucaia,-21.994656899999999,-42.913797500000001
80,Saquarema,-22.9257974,-42.507632999999998
81,Seropédica,-22.743888699999999,-43.699199800000002
82,Silva Jardim,-22.6504534,-42.3919146
83,Sumidouro,-22.049805899999999,-42.674260099999998
84,Tanguá,-22.735377700000001,-42.720227199999997
85,Teresópolis,-22.4164578,-42.975194000000002
86,Trajano de Moraes,-22.0637911,-42.0644414
87,Três Rios,-22.116788400000001,-43.208722600000002
88,Valença,-22.246102799999999,-43.699691700000002
89,Varre-Sai,-20.930886900000001,-41.868577199999997
90,Vassouras,-22.404039399999998,-43.663385300000002
91,Volta Redonda,-22.522549699999999,-44.1040128
