,Municipios,Latitude,Longitude,Limitrofes,Populacao,2010,2011,2012,2013,2014,2015
0,Angra dos Reis,-23.0063966,-44.316326,"Mangaratiba,Paraty,Rio Claro",210171,888,4351,1271,7758,56,8012
1,Aperibé,-21.6211928,-42.1028167,"Cambuci,Itaocara,Santo Antônio de Pádua",12036,16,27,105,212,4,21
2,Araruama,-22.8733203,-42.3428897,"Arraial do Cabo,Cabo Frio,Iguaba Grande,São Pedro da Aldeia,Saquarema,Casimiro de Abreu,Silva Jardim,Rio Bonito",136109,629,667,155,1857,22,391
3,Areal,-22.2314922,-43.1056264,"Paraíba do Sul,Petrópolis,São José do Vale do Rio Preto,Três Rios",12763,2,37,2,60,0,363
4,Armação dos Búzios,-22.7597805,-41.8875267,Cabo Frio,35060,33,601,76,1367,8,47
5,Arraial do Cabo,-22.9662839,-42.024427,"Araruama,Cabo Frio,Iguaba Grande,São Pedro da Aldeia",30827,74,141,114,623,11,47
6,Barra do Piraí,-22.4703403,-43.8263256,"Piraí,Valença,Vassouras,Mendes,Volta Redonda,Barra Mansa,Pinheiral",101139,10,486,160,928,49,1251
7,Barra Mansa,-22.5394843,-44.1735129,"Barra do Piraí,Porto Real,Quatis,Resende,Rio Claro,Valença,Volta Redonda",185237,74,1145,43,1252,82,1110
8,Belford Roxo,-22.7667284,-43.4033603,"Mesquita,Nova Iguaçu,Duque de Caxias,São João de Meriti.",515239,1157,3185,1686,1781,101,179
9,Bom Jardim,-22.1515328,-42.4186683,"Cordeiro,Duas Barras,Nova Friburgo,Trajano de Morais",27779,1,177,1,82,1,35
10,Bom Jesus do Itabapoana,-21.1341025,-41.680095,"Campos dos Goytacazes,Italva,Itaperuna,Natividade,Varre-Sai",37306,313,1928,65,1435,57,1028
11,Cabo Frio,-22.8804369,-42.0189227,"Araruama,Armação dos Búzios,Arraial do Cabo,Casimiro de Abreu,São Pedro da Aldeia,Silva Jardim",234077,1705,5684,3114,6705,178,172
12,Cachoeiras de Macacu,-22.4626861,-42.6534414,"Nova Friburgo,Silva Jardim,Rio Bonito,Tanguá,Itaboraí,Guapimirim,Teresópolis",59652,355,237,199,2675,73,11
13,Cambuci,-21.5749919,-41.9107833,"Aperibé,Italva,Itaocara,Itaperuna,Santo Antônio de Pádua,São Fidélis,São José de Ubá",15521,58,117,35,344,4,14
14,Campos dos Goytacazes,-22.1869969,-41.6633764,"São Francisco de Itabapoana,Santa Maria Madalena,São João da Barra,Quissamã,São Fidélis,Cardoso Moreira,Italva,Bom Jesus do Itabapoana",514643,2166,4101,1182,14462,107,3463
15,Cantagalo,-22.028685,-43.204655,"Carmo,Cordeiro,Duas Barras,Itaocara,Macuco,Santo Antônio de Pádua,São Sebastião do Alto",20163,159,552,9,792,4,5
16,Carapebus,-21.7558619,-41.3326895,"Conceição de Macabu,Macaé,Quissamã",16859,21,33,2,516,3,94
17,Cardoso Moreira,-21.9811325,-42.3682522,"Campos dos Goytacazes,Italva,São Fidélis",12818,10,41,25,188,5,30
18,Carmo,-21.4894916,-41.6152776,"Cantagalo,Duas Barras,Sapucaia,Sumidouro",19161,15,94,7,59,0,12
19,Casimiro de Abreu,-21.9341749,-42.6091737,"Cabo Frio,Macaé,Nova Friburgo,Rio das Ostras,Silva Jardim",45864,550,244,85,1173,6,78
20,Comendador Levy Gasparian,-22.4809932,-42.2039976,"Paraíba do Sul,Três Rios.",8590,3,8,1,210,0,1
21,Conceição de Macabu,-22.0849986,-41.8679947,"Campos dos Goytacazes,Carapebus,Macaé,Quissamã,Santa Maria Madalena,Trajano de Moraes",23561,11,26,9,39,2,67
22,Cordeiro,-22.0287681,-42.3607442,"Bom Jardim,Cantagalo,Duas Barras,Trajano de Moraes,Macuco",22152,73,1200,45,789,2,34
23,Duas Barras,-22.0522519,-42.5194705,"Bom Jardim,Cantagalo,Carmo,Cordeiro,Nova Friburgo,Sumidouro",11563,2,9,2,21,0,0
24,Duque de Caxias,-22.7896225,-43.309929,"Belford Roxo,Rio de Janeiro,Magé,Miguel Pereira,Nova Iguaçu,Petrópolis,São João de Meriti",929449,1391,9676,2753,6877,249,266
